gzip: 0.1.1
hicolor-icon-theme: 0.17
httpcomponents-client: 5.4
hdparm: fail
httpd: 2.4.59
harfbuzz: 8.5.0
hdf: fail
hunspell-ast: 9.2
haveged: 1.9.18
hdf5: 5.1.14.4.3
htop: 3.3.0
hunspell-be: 0.60
help2man: fail
hiera: 1.4
hunspell-bn: fail
hunspell-am: 9.2
hexedit: 0.9.12
gupnp-av: 0.14.1
hunspell-bg: fail
hunspell-az: fail
hsakmt: 5.3.3
hostname: 1.1.2
hping3: fail
hunspell-ca: 5.0.0
hunspell-br: 1.0.4
hunspell-af: fail
hunspell-ber: fail
hunspell-ar: fail
hunspell-cop: fail
http-parser: 2.9.4
haproxy: 3.0.0
helm: 3.15.1
hunspell: 1.7.2
hivex: 1.3.23
hunspell-as: 4.0.2
highlight: 1.2.0
heimdal: 7.8.0
hunspell-fr: fail
hunspell-csb: fail
hunspell-el: 1.1.0
hunspell-da: fail
hunspell-es: fail
hunspell-de: fail
hunspell-dsb: 9.2
hunspell-cy: 1.2.1
hunspell-cv: 9.2
hunspell-eu: fail
hunspell-en: 0.0.20140410
hunspell-eo: fail
hunspell-et: fail
hunspell-fur: fail
hunspell-fj: fail
hunspell-fa: fail
hunspell-mai: fail
hunspell-fy: fail
hunspell-gu: fail
hunspell-fo: fail
hunspell-haw: 9.2
hunspell-gl: 0.0.20140410
hunspell-grc: 9.2
hunspell-gv: fail
hunspell-ht: 9.2
hunspell-gd: fail
hunspell-ga: fail
hunspell-hr: 2.1
hunspell-hu: 1.7.2
hunspell-km: fail
hunspell-hil: fail
hunspell-is: fail
hunspell-hy: fail
hunspell-ln: 9.2
hunspell-hsb: fail
hunspell-ky: 9.2
hunspell-kk: 1.1
hunspell-it: fail
hunspell-ia: fail
hunspell-ku: fail
hunspell-mk: fail
hunspell-la: fail
hunspell-hi: 2.1.2
hunspell-ko: 0.7.94
hunspell-id: 2.3.0
hunspell-kn: fail
hunspell-mi: 1.3.2
hunspell-lb: 9.2
hunspell-mg: fail
hunspell-ml: fail
hunspell-ne: fail
hunspell-sq: fail
hunspell-nr: fail
hunspell-mr: fail
hunspell-mos: 9.2
hunspell-nds: fail
hunspell-mn: fail
hunspell-ny: fail
hunspell-mt: fail
hunspell-om: 9.2
hunspell-no: fail
hunspell-pa: fail
hunspell-nso: fail
hunspell-ro: fail
hunspell-rw: fail
hunspell-ms: fail
hunspell-pl: fail
hunspell-or: fail
hunspell-quh: 9.2
hunspell-se: fail
hunspell-pt: fail
hunspell-shs: 9.2
hunspell-smj: fail
hunspell-sl: fail
hunspell-si: fail
hunspell-sr: fail
hunspell-so: fail
hunspell-tet: fail
hunspell-tk: fail
hunspell-sv: fail
hunspell-tpi: 9.2
hunspell-uz: fail
hunspell-ta: fail
hunspell-wa: fail
hunspell-ts: fail
hunspell-tn: fail
hunspell-sk: 2.4.7
hunspell-ti: fail
hunspell-sw: fail
hunspell-xh: fail
hunspell-th: fail
hunspell-yi: fail
hunspell-ve: fail
hwdata: 0.383
hunspell-tl: fail
hvloader: 1.0.1
hwloc: 2.10
hunspell-vi: 2.2.0
hunspell-te: 2.16
hunspell-uk: fail
hyphen-da: fail
hyphen-bn: fail
hyperv-daemons: fail
hyphen-ca: 3.2.0
hyphen-bg: fail
hyphen-sa: fail
hyphen-as: fail
hyphen-es: fail
hyphen-fo: 8.8
hyphen-el: 5.1.1.0
hyphen-de: fail
hyphen: 5.3.0
hyphen-ga: fail
hyphen-ku: 8.8
hyphen-fa: fail
hyphen-fr: fail
hyphen-hu: fail
hyperscan: 5.4.2
hyphen-ia: fail
hyphen-kn: fail
hyphen-gu: fail
hyphen-mn: fail
hyphen-it: 1.0.0
hyphen-hi: fail
hyphen-gl: fail
hyphen-ro: fail
hyphen-tk: 8.8
hyphen-nl: fail
hyphen-ml: fail
hyphen-mr: fail
hyphen-pl: fail
hyphen-or: 3.1.0
hyphen-mi: fail
hyphen-pa: 0.2.1
hyphen-sl: fail
hyphen-is: fail
hyphen-lt: fail
hyphen-pt: fail
hyphen-uk: fail
hyphen-id: 1.3
i2c-tools: fail
iana-etc: 20240607
hyphen-ru: fail
ibus: 1.5.30
hyphen-ta: fail
ibus-hangul: 1.2.0.20090617
hyphen-sk: 0.1.2
hyphen-te: 2021.3.21
ibus-chewing: 2.0.0
hyphen-sv: fail
imsettings: fail
ibus-libzhuyin: 1.10.3
ibus-table: 1.8.3
ibus-sayura: fail
ibus-rawcode: fail
iftop: fail
icoutils: fail
ibus-kkc: 1.5.22
icc-profiles-openicc: fail
icon-naming-utils: fail
ibus-table-chinese: 1.8.3
ilmbase: fail
iceauth: fail
ig: 3.1.13
indent: 2.0
im-chooser: 1.5.0
ibus-m17n: 1.3.1
icu: fail
initscripts: fail
infinipath-psm: fail
intel-cmt-cat: 23.11.1
imaptest: fail
iio-sensor-proxy: 2.8
intel-pf-bb-config: 24.3
iniparser: 4.2.2
intltool: fail
inotify-tools: 4.23.9.0
influxdb: 2.7.6
ipa-pgothic-fonts: fail
IP2Location: 9.7.0
influx-cli: 1.43.0
iptables: fail
iperf3: fail
intel-ipsec-mb: 1.5
iproute: 1.4.2
irqbalance: 1.9.4
iscsi-initiator-utils: fail
iotop: 1.26
ipvsadm: 1.26
ipcalc: 0.51
ipset: fail
inih: 58
iputils: 20240117
ioping: 1.3
iptraf-ng: 1.2.1
iptstate: 2.2.7
ipxe: 1.21.1
irssi: 1.4.5
ipmitool: 1.8.19
iprutils: 2.4.19
ivykis: 0.43.1
java-cup-bootstrap: fail
javacc-bootstrap: fail
isns-utils: fail
isorelax: 2014.0
isomd5sum: 1.2.4
itstool: 2.0.7
iw: fail
jakarta-taglibs-standard: fail
jflex-bootstrap: fail
jakarta-servlet: fail
iwd: 3.3.0
jsch: fail
jansi: 2.4.1
java-cup: fail
jabberpy: 0.6
jansi-native: 1.8
jarjar: fail
javapackages-tools: 9.2
jasper: fail
javacc: 7.0.13
jboss-interceptors-1.2-api: 8.8
javapackages-bootstrap: 1.16.0
jitterentropy-library: 3.5.0
iso-codes: 9.0
jansson: 2.14
jfsutils: fail
jlex: fail
jdom2: fail
jdepend: 2.10
jna: 5.14.0
json-c: 0.17
jose: 5.4.0
js-jquery: 1.0.3
jbigkit: 2.1
jq: 3.7.1
jimtcl: 0.82
jsch-agent-proxy: 0.0.8
jsoup: 1.17.2
jline: fail
Judy: fail
jtidy: 6.1.0.4
jsonbuilder: 0.2.1
junit: 4.13.2
jemalloc: 5.3.0
jsr-305: 0.5.1
json-glib: 1.2.8
jsoncpp: 1.9.5
jflex: 1.9.1
javassist: 3.1
kernel-uvm: fail
kernel-mshv: fail
jurand: fail
jzlib: 1.1.3
kf-kwidgetsaddons: fail
junitperf: fail
jx: 1.6.7
keepalived: 2.3.1
kernel: 6.9
kata-containers-cc: 2.3.0
kernel-headers: 4.19.88
kbd: 3
kdump-anaconda-addon: 6
kexec-tools: 2.0.28
kde-settings: 24.2.0
keybinder3: 3.0
kernel-rt: 11.1.0
keyutils: 0.6
kronosnet: 1.29
kf-kcoreaddons: fail
kpmcore: 24.5.0
krb5: 1.21.2
kube-vip-cloud-provider: 0.0.9
keycloak-httpd-client-install: 1.1
kf-ki18n: 5.115.0
lasso: 4.0.4
keras: 3.3.3
lcms2: 6.1.0
keda: 2.14.0
kf-kconfig: 5.5.89.0.1
koan: fail
ksh: 2.0.1
kube-vip-cloud-provider: 0.0.9
ladspa: 0.4.17
lcov: 2.1
kpatch: 0.9.9
langtable: 0.0.67
ldns: 2
kyotocabinet: fail
kubernetes: 1.30.1
lame: fail
lato-fonts: fail
lapack: 3.12.0
kured: 1.15.1
latencytop: fail
kmod: 0.12.2
kyua: 0.13
kata-containers: 3.5.0
kubevirt: 1.2.2
leatherman: fail
libarrow: fail
libacvp: 2.1.0
libao: 1.2.2
libaio: fail
lensfun: 0.3.4
libaec: 0.3.4
less: 4.2.0
ledmon: 1.0.0
libappstream-glib: 9.2
libarchive: 3.7.4
libabw: 0.1.3
libasyncns: fail
libassuan: 3.0
lftp: 4.9.2
leveldb: 1.23
libatomic_ops: 7.8.2
libbpf: 1.4.3
libart_lgpl: fail
libbytesize: 2.10
libcap-ng: 0.8.5
libburn: fail
libbsd: 5.3
libcap: 0.7
libcontainers-common: fail
libblockdev: 3.1.1
libatasmart: 0.19
libcanberra: 0.30
libcgroup: 3.1.0
libcacard: 2.4.0
libavc1394: fail
libconfuse: 3.3
libcdio: 10.2+2.0.2
libcdio-paranoia: 10.2+2.0.2
